type,handle,field,english,arabic
product,newcastle-united-2026-27-home-shirt,title,Newcastle United 2026/27 Home Shirt,قميص نيوكاسل يونايتد 2026/27 الأساسي
product,nigeria-2025-26-away-shirt,title,Nigeria 2025/26 Away Shirt,قميص نيجيريا 2025/26 الاحتياطي
collection,,title,Nigeria,نيجيريا
product,nigeria-2025-26-home-shirt,title,Nigeria 2025/26 Home Shirt,قميص نيجيريا 2025/26 الأساسي
product,nigeria-2026-27-away-shirt,title,Nigeria 2026/27 Away Shirt,قميص نيجيريا 2026/27 الاحتياطي
product,nigeria-2026-27-home-shirt,title,Nigeria 2026/27 Home Shirt,قميص نيجيريا 2026/27 الأساسي
product,northern-ireland-2026-home-shirt,title,Northern Ireland 2026 Home Shirt,قميص أيرلندا الشمالية 2026 الأساسي
collection,,title,Northern Ireland,أيرلندا الشمالية
product,norway-2026-away-shirt,title,Norway 2026 Away Shirt,قميص النرويج 2026 الاحتياطي
collection,,title,Norway,النرويج
product,norway-2026-home-shirt,title,Norway 2026 Home Shirt,قميص النرويج 2026 الأساسي
product,norway-2026-27-third-shirt,title,Norway 2026/27 Third Shirt,قميص النرويج 2026/27 الثالث
product,nottingham-forest-2026-27-home-shirt,title,Nottingham Forest 2026/27 Home Shirt,قميص نوتنغهام فورست 2026/27 الأساسي
collection,,title,Nottingham Forest,نوتنغهام فورست
product,osasuna-2026-27-away-shirt,title,Osasuna 2026/27 Away Shirt,قميص أوساسونا 2026/27 الاحتياطي
collection,,title,Osasuna,أوساسونا
product,palestine-2025-26-away-shirt,title,Palestine 2025/26 Away Shirt,قميص فلسطين 2025/26 الاحتياطي
collection,,title,Palestine,فلسطين
product,palestine-2025-26-home-shirt,title,Palestine 2025/26 Home Shirt,قميص فلسطين 2025/26 الأساسي
product,palestine-2025-26-third-shirt,title,Palestine 2025/26 Third Shirt,قميص فلسطين 2025/26 الثالث
product,paraguay-2026-away-shirt,title,Paraguay 2026 Away Shirt,قميص باراغواي 2026 الاحتياطي
collection,,title,Paraguay,باراغواي
product,paraguay-2026-home-shirt,title,Paraguay 2026 Home Shirt,قميص باراغواي 2026 الأساسي
product,paraguay-2026-27-home-shirt,title,Paraguay 2026/27 Home Shirt,قميص باراغواي 2026/27 الأساسي
product,paris-saint-germain-2025-26-home-shirt,title,Paris Saint-Germain 2025/26 Home Shirt,قميص باريس سان جيرمان 2025/26 الأساسي
collection,,title,Paris Saint-Germain,باريس سان جيرمان
product,paris-saint-germain-2026-27-away-shirt,title,Paris Saint-Germain 2026/27 Away Shirt,قميص باريس سان جيرمان 2026/27 الاحتياطي
product,paris-saint-germain-2026-27-home-shirt,title,Paris Saint-Germain 2026/27 Home Shirt,قميص باريس سان جيرمان 2026/27 الأساسي
product,parma-2026-27-home-shirt,title,Parma 2026/27 Home Shirt,قميص بارما 2026/27 الأساسي
collection,,title,Parma,بارما
product,poland-2026-home-shirt,title,Poland 2026 Home Shirt,قميص بولندا 2026 الأساسي
collection,,title,Poland,بولندا
product,portugal-2025-26-away-shirt,title,Portugal 2025/26 Away Shirt,قميص البرتغال 2025/26 الاحتياطي
collection,,title,Portugal,البرتغال
product,portugal-2025-26-home-shirt,title,Portugal 2025/26 Home Shirt,قميص البرتغال 2025/26 الأساسي
product,portugal-2026-away-shirt,title,Portugal 2026 Away Shirt,قميص البرتغال 2026 الاحتياطي
product,portugal-2026-home-shirt,title,Portugal 2026 Home Shirt,قميص البرتغال 2026 الأساسي
product,portugal-2026-27-away-shirt,title,Portugal 2026/27 Away Shirt,قميص البرتغال 2026/27 الاحتياطي
product,portugal-2026-27-home-shirt,title,Portugal 2026/27 Home Shirt,قميص البرتغال 2026/27 الأساسي
product,qatar-2026-home-shirt,title,Qatar 2026 Home Shirt,قميص قطر 2026 الأساسي
collection,,title,Qatar,قطر
product,rayo-vallecano-2026-27-away-shirt,title,Rayo Vallecano 2026/27 Away Shirt,قميص رايو فاييكانو 2026/27 الاحتياطي
collection,,title,Rayo Vallecano,رايو فاييكانو
product,rayo-vallecano-2026-27-home-shirt,title,Rayo Vallecano 2026/27 Home Shirt,قميص رايو فاييكانو 2026/27 الأساسي
product,rb-leipzig-2025-26-away-shirt,title,RB Leipzig 2025/26 Away Shirt,قميص لايبزيغ 2025/26 الاحتياطي
collection,,title,RB Leipzig,لايبزيغ
product,rb-leipzig-2025-26-home-shirt,title,RB Leipzig 2025/26 Home Shirt,قميص لايبزيغ 2025/26 الأساسي
product,real-betis-2025-26-home-shirt,title,Real Betis 2025/26 Home Shirt,قميص ريال بيتيس 2025/26 الأساسي
collection,,title,Real Betis,ريال بيتيس
product,real-betis-2026-27-away-shirt,title,Real Betis 2026/27 Away Shirt,قميص ريال بيتيس 2026/27 الاحتياطي
product,real-betis-2026-27-home-shirt,title,Real Betis 2026/27 Home Shirt,قميص ريال بيتيس 2026/27 الأساسي
product,real-betis-2026-27-third-shirt,title,Real Betis 2026/27 Third Shirt,قميص ريال بيتيس 2026/27 الثالث
product,real-madrid-2025-26-away-shirt,title,Real Madrid 2025/26 Away Shirt,قميص ريال مدريد 2025/26 الاحتياطي
collection,,title,Real Madrid,ريال مدريد
product,real-madrid-2025-26-home-shirt,title,Real Madrid 2025/26 Home Shirt,قميص ريال مدريد 2025/26 الأساسي
product,real-madrid-2025-26-third-shirt,title,Real Madrid 2025/26 Third Shirt,قميص ريال مدريد 2025/26 الثالث
product,real-madrid-2026-27-away-shirt,title,Real Madrid 2026/27 Away Shirt,قميص ريال مدريد 2026/27 الاحتياطي
product,real-madrid-2026-27-home-shirt,title,Real Madrid 2026/27 Home Shirt,قميص ريال مدريد 2026/27 الأساسي
product,real-oviedo-2026-27-away-shirt,title,Real Oviedo 2026/27 Away Shirt,قميص ريال أوفييدو 2026/27 الاحتياطي
collection,,title,Real Oviedo,ريال أوفييدو
product,real-oviedo-2026-27-home-shirt,title,Real Oviedo 2026/27 Home Shirt,قميص ريال أوفييدو 2026/27 الأساسي
product,real-oviedo-2026-27-third-shirt,title,Real Oviedo 2026/27 Third Shirt,قميص ريال أوفييدو 2026/27 الثالث
product,real-sociedad-2026-27-home-shirt,title,Real Sociedad 2026/27 Home Shirt,قميص ريال سوسيداد 2026/27 الأساسي
collection,,title,Real Sociedad,ريال سوسيداد
product,real-sociedad-2026-27-third-shirt,title,Real Sociedad 2026/27 Third Shirt,قميص ريال سوسيداد 2026/27 الثالث
product,republic-of-ireland-2026-27-away-shirt,title,Republic of Ireland 2026/27 Away Shirt,قميص جمهورية أيرلندا 2026/27 الاحتياطي
collection,,title,Republic of Ireland,جمهورية أيرلندا
product,roma-2026-27-away-shirt,title,Roma 2026/27 Away Shirt,قميص روما 2026/27 الاحتياطي
collection,,title,Roma,روما
product,roma-2026-27-home-shirt,title,Roma 2026/27 Home Shirt,قميص روما 2026/27 الأساسي
product,romania-2025-26-home-shirt,title,Romania 2025/26 Home Shirt,قميص رومانيا 2025/26 الأساسي
collection,,title,Romania,رومانيا
product,romania-2025-26-third-shirt,title,Romania 2025/26 Third Shirt,قميص رومانيا 2025/26 الثالث
product,saudi-arabia-2026-away-shirt,title,Saudi Arabia 2026 Away Shirt,قميص السعودية 2026 الاحتياطي
collection,,title,Saudi Arabia,السعودية
product,saudi-arabia-2026-home-shirt,title,Saudi Arabia 2026 Home Shirt,قميص السعودية 2026 الأساسي
product,scotland-2025-26-away-shirt,title,Scotland 2025/26 Away Shirt,قميص اسكتلندا 2025/26 الاحتياطي
collection,,title,Scotland,اسكتلندا
product,scotland-2026-away-shirt,title,Scotland 2026 Away Shirt,قميص اسكتلندا 2026 الاحتياطي
product,scotland-2026-home-shirt,title,Scotland 2026 Home Shirt,قميص اسكتلندا 2026 الأساسي
product,senegal-2026-away-shirt,title,Senegal 2026 Away Shirt,قميص السنغال 2026 الاحتياطي
collection,,title,Senegal,السنغال
product,senegal-2026-27-away-shirt,title,Senegal 2026/27 Away Shirt,قميص السنغال 2026/27 الاحتياطي
product,senegal-2026-27-home-shirt,title,Senegal 2026/27 Home Shirt,قميص السنغال 2026/27 الأساسي
product,sevilla-2026-27-away-shirt,title,Sevilla 2026/27 Away Shirt,قميص إشبيلية 2026/27 الاحتياطي
collection,,title,Sevilla,إشبيلية
product,sevilla-2026-27-home-shirt,title,Sevilla 2026/27 Home Shirt,قميص إشبيلية 2026/27 الأساسي
product,sevilla-2026-27-third-shirt,title,Sevilla 2026/27 Third Shirt,قميص إشبيلية 2026/27 الثالث
product,south-africa-2026-away-shirt,title,South Africa 2026 Away Shirt,قميص جنوب أفريقيا 2026 الاحتياطي
collection,,title,South Africa,جنوب أفريقيا
product,south-africa-2026-home-shirt,title,South Africa 2026 Home Shirt,قميص جنوب أفريقيا 2026 الأساسي
product,south-korea-2025-26-away-shirt,title,South Korea 2025/26 Away Shirt,قميص كوريا الجنوبية 2025/26 الاحتياطي
collection,,title,South Korea,كوريا الجنوبية
product,south-korea-2025-26-home-shirt,title,South Korea 2025/26 Home Shirt,قميص كوريا الجنوبية 2025/26 الأساسي
product,south-korea-2026-home-shirt,title,South Korea 2026 Home Shirt,قميص كوريا الجنوبية 2026 الأساسي
product,spain-2025-26-away-shirt,title,Spain 2025/26 Away Shirt,قميص إسبانيا 2025/26 الاحتياطي
collection,,title,Spain,إسبانيا
product,spain-2025-26-home-shirt,title,Spain 2025/26 Home Shirt,قميص إسبانيا 2025/26 الأساسي
product,spain-2026-away-shirt,title,Spain 2026 Away Shirt,قميص إسبانيا 2026 الاحتياطي
product,spain-2026-home-shirt,title,Spain 2026 Home Shirt,قميص إسبانيا 2026 الأساسي
product,spain-2026-third-shirt,title,Spain 2026 Third Shirt,قميص إسبانيا 2026 الثالث
product,spain-2026-27-away-shirt,title,Spain 2026/27 Away Shirt,قميص إسبانيا 2026/27 الاحتياطي
product,spain-2026-27-home-shirt,title,Spain 2026/27 Home Shirt,قميص إسبانيا 2026/27 الأساسي
product,spain-2026-27-third-shirt,title,Spain 2026/27 Third Shirt,قميص إسبانيا 2026/27 الثالث
product,sunderland-2026-27-away-shirt,title,Sunderland 2026/27 Away Shirt,قميص سندرلاند 2026/27 الاحتياطي
collection,,title,Sunderland,سندرلاند
product,sunderland-2026-27-home-shirt,title,Sunderland 2026/27 Home Shirt,قميص سندرلاند 2026/27 الأساسي
product,sweden-2026-away-shirt,title,Sweden 2026 Away Shirt,قميص السويد 2026 الاحتياطي
collection,,title,Sweden,السويد
product,sweden-2026-home-shirt,title,Sweden 2026 Home Shirt,قميص السويد 2026 الأساسي
product,switzerland-2026-away-shirt,title,Switzerland 2026 Away Shirt,قميص سويسرا 2026 الاحتياطي
collection,,title,Switzerland,سويسرا
product,tottenham-hotspur-2025-26-away-shirt,title,Tottenham Hotspur 2025/26 Away Shirt,قميص توتنهام هوتسبير 2025/26 الاحتياطي
collection,,title,Tottenham Hotspur,توتنهام هوتسبير
product,tottenham-hotspur-2025-26-home-shirt,title,Tottenham Hotspur 2025/26 Home Shirt,قميص توتنهام هوتسبير 2025/26 الأساسي
product,tunisia-2026-away-shirt,title,Tunisia 2026 Away Shirt,قميص تونس 2026 الاحتياطي
collection,,title,Tunisia,تونس
product,tunisia-2026-home-shirt,title,Tunisia 2026 Home Shirt,قميص تونس 2026 الأساسي
product,tunisia-2026-third-shirt,title,Tunisia 2026 Third Shirt,قميص تونس 2026 الثالث
product,tunisia-2026-27-away-shirt,title,Tunisia 2026/27 Away Shirt,قميص تونس 2026/27 الاحتياطي
product,tunisia-2026-27-third-shirt,title,Tunisia 2026/27 Third Shirt,قميص تونس 2026/27 الثالث
product,turkey-2026-27-away-shirt,title,Turkey 2026/27 Away Shirt,قميص تركيا 2026/27 الاحتياطي
collection,,title,Turkey,تركيا
product,turkey-2026-27-home-shirt,title,Turkey 2026/27 Home Shirt,قميص تركيا 2026/27 الأساسي
product,ukraine-2026-home-shirt,title,Ukraine 2026 Home Shirt,قميص أوكرانيا 2026 الأساسي
collection,,title,Ukraine,أوكرانيا
product,united-arab-emirates-2026-home-shirt,title,United Arab Emirates 2026 Home Shirt,قميص الإمارات 2026 الأساسي
collection,,title,United Arab Emirates,الإمارات
product,united-states-2026-away-shirt,title,United States 2026 Away Shirt,قميص الولايات المتحدة 2026 الاحتياطي
collection,,title,United States,الولايات المتحدة
product,united-states-2026-home-shirt,title,United States 2026 Home Shirt,قميص الولايات المتحدة 2026 الأساسي
product,united-states-2026-27-home-shirt,title,United States 2026/27 Home Shirt,قميص الولايات المتحدة 2026/27 الأساسي
product,uruguay-2025-26-away-shirt,title,Uruguay 2025/26 Away Shirt,قميص الأوروغواي 2025/26 الاحتياطي
collection,,title,Uruguay,الأوروغواي
product,uruguay-2025-26-home-shirt,title,Uruguay 2025/26 Home Shirt,قميص الأوروغواي 2025/26 الأساسي
product,uruguay-2026-away-shirt,title,Uruguay 2026 Away Shirt,قميص الأوروغواي 2026 الاحتياطي
product,uruguay-2026-home-shirt,title,Uruguay 2026 Home Shirt,قميص الأوروغواي 2026 الأساسي
product,uzbekistan-2025-26-home-shirt,title,Uzbekistan 2025/26 Home Shirt,قميص أوزبكستان 2025/26 الأساسي
collection,,title,Uzbekistan,أوزبكستان
product,valencia-2026-27-third-shirt,title,Valencia 2026/27 Third Shirt,قميص فالنسيا 2026/27 الثالث
collection,,title,Valencia,فالنسيا
product,venezuela-2025-26-home-shirt,title,Venezuela 2025/26 Home Shirt,قميص فنزويلا 2025/26 الأساسي
collection,,title,Venezuela,فنزويلا
product,venezuela-2026-away-shirt,title,Venezuela 2026 Away Shirt,قميص فنزويلا 2026 الاحتياطي
product,venezuela-2026-home-shirt,title,Venezuela 2026 Home Shirt,قميص فنزويلا 2026 الأساسي
product,vfb-stuttgart-2026-27-home-shirt,title,VfB Stuttgart 2026/27 Home Shirt,قميص شتوتغارت 2026/27 الأساسي
collection,,title,VfB Stuttgart,شتوتغارت
product,villarreal-2026-27-home-shirt,title,Villarreal 2026/27 Home Shirt,قميص فياريال 2026/27 الأساسي
collection,,title,Villarreal,فياريال
product,wales-2026-away-shirt,title,Wales 2026 Away Shirt,قميص ويلز 2026 الاحتياطي
collection,,title,Wales,ويلز
product,wales-2026-home-shirt,title,Wales 2026 Home Shirt,قميص ويلز 2026 الأساسي
product,werder-bremen-2025-26-home-shirt,title,Werder Bremen 2025/26 Home Shirt,قميص فيردر بريمن 2025/26 الأساسي
collection,,title,Werder Bremen,فيردر بريمن
product,werder-bremen-2026-27-away-shirt,title,Werder Bremen 2026/27 Away Shirt,قميص فيردر بريمن 2026/27 الاحتياطي
product,werder-bremen-2026-27-third-shirt,title,Werder Bremen 2026/27 Third Shirt,قميص فيردر بريمن 2026/27 الثالث
product,west-ham-united-2026-27-away-shirt,title,West Ham United 2026/27 Away Shirt,قميص وست هام يونايتد 2026/27 الاحتياطي
collection,,title,West Ham United,وست هام يونايتد
product,west-ham-united-2026-27-home-shirt,title,West Ham United 2026/27 Home Shirt,قميص وست هام يونايتد 2026/27 الأساسي
product,wolverhampton-wanderers-2025-26-home-shirt,title,Wolverhampton Wanderers 2025/26 Home Shirt,قميص وولفرهامبتون 2025/26 الأساسي
collection,,title,Wolverhampton Wanderers,وولفرهامبتون
product,wolverhampton-wanderers-2026-27-home-shirt,title,Wolverhampton Wanderers 2026/27 Home Shirt,قميص وولفرهامبتون 2026/27 الأساسي
collection,,title,Premier League,الدوري الإنجليزي الممتاز
collection,,title,La Liga,الدوري الإسباني
collection,,title,Serie A,الدوري الإيطالي
collection,,title,Bundesliga,الدوري الألماني
collection,,title,Ligue 1,الدوري الفرنسي
collection,,title,National Teams,المنتخبات الوطنية
collection,,title,2026 World Cup,كأس العالم 2026
collection,,title,New Season,الموسم الجديد
collection,,title,Last Season,الموسم الماضي
collection,,title,Home Kits,الأطقم الأساسية
collection,,title,Away Kits,الأطقم الاحتياطية
collection,,title,Third Kits,الأطقم الثالثة
collection,,title,Name & Number Printing,طباعة الاسم والرقم
collection,,title,League Badge / Patch,شعار البطولة
